S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2,form_del_min
BTCUSDT,ETHUSDT,0.0,4.89163388529755,0.0,0.0016355936004483782,2.0,0.6747022752211033,-0.32529772477889674,412
BTCUSDT,ETHUSDT,0.0,4.927971066536462,0.0,0.0016597200132392766,2.0,0.6767062380377096,-0.3232937619622904,413
BTCUSDT,ETHUSDT,0.0,4.914545462017642,0.0,0.0016515155885247301,2.0,0.6759656117852509,-0.3240343882147491,414
BTCUSDT,ETHUSDT,0.0,4.953834052835463,0.0,0.0016717026252605774,2.0,0.6781379824366451,-0.32186201756335486,416
BTCUSDT,ETHUSDT,0.0,4.889233813174875,0.0,0.001619490418304199,2.0,0.6745780250792786,-0.3254219749207214,417
BTCUSDT,ETHUSDT,0.0,4.919520581996345,0.0,0.0016390153434487132,2.0,0.6762446802676187,-0.3237553197323813,418
BTCUSDT,ETHUSDT,0.0,4.95490630425878,0.0,0.0016678106809918697,2.0,0.6781954256833954,-0.3218045743166046,419
BTCUSDT,ETHUSDT,0.0,-4.9860782042865015,0.0,0.0016709440409879476,3.0,-0.6799524466029305,0.3200475533970696,420
BTCUSDT,ETHUSDT,0.0,-5.097287677713882,0.0,0.0017611353709749166,3.0,-0.6860893533354122,0.3139106466645879,421
BTCUSDT,ETHUSDT,0.0,-5.171237558449964,0.0,0.0018413408997283915,3.0,-0.6901664522516152,0.30983354774838473,424
BTCUSDT,ETHUSDT,0.0,-5.243330583953359,0.0,0.0019076131539665117,3.0,-0.6941454930675145,0.30585450693248545,425
BTCUSDT,ETHUSDT,0.0,-5.187381346826224,0.0,0.001952682073969241,3.0,-0.6910457174295682,0.3089542825704318,442
BTCUSDT,ETHUSDT,0.0,-5.1963005012218435,0.0,0.0019661253443276966,3.0,-0.69153792995102,0.30846207004898,443
BTCUSDT,ETHUSDT,0.0,-3.8719802818078657,-8.975355143334565e-05,0.0014383450911915488,5.0,-0.6186515981685979,0.3813484018314021,448
BTCUSDT,ETHUSDT,0.0,-3.6425605969542385,-0.00010541581440723704,0.0013676501033890688,5.0,-0.6060172155213435,0.39398278447865653,450
BTCUSDT,ETHUSDT,0.0,-3.7360342628716214,-0.00012740197744265527,0.0013600000926753688,4.0,-0.6111931070442618,0.38880689295573834,461
BTCUSDT,ETHUSDT,0.0,-3.7643664987135725,-0.00013077250436270977,0.0013394712999822906,4.0,-0.6127653439928759,0.3872346560071241,462
BTCUSDT,ETHUSDT,0.0,-3.6720197466787474,-0.0001337163881421284,0.0012832062578209806,5.0,-0.6076634556370157,0.3923365443629844,463
BTCUSDT,ETHUSDT,0.0,-3.755754479038062,-0.00013405913071068613,0.001281629867809359,4.0,-0.6122886353753965,0.3877113646246036,464
BTCUSDT,ETHUSDT,0.0,-3.7062868587156226,-0.00013436210165091537,0.0012525329916860562,4.0,-0.6095475989967214,0.39045240100327855,465
BTCUSDT,ETHUSDT,0.0,-3.698228022771508,-0.00013784879615974505,0.0012471821521151329,5.0,-0.6091061985206974,0.39089380147930264,466
BTCUSDT,ETHUSDT,0.0,-3.7985975840438,-0.00013581613415780572,0.001263045342937599,5.0,-0.6146432486308805,0.38535675136911945,467
BTCUSDT,ETHUSDT,0.0,-3.8933553420774514,-0.00013010612969814874,0.0012735326298308118,4.0,-0.6198587351444633,0.38014126485553673,468
BTCUSDT,ETHUSDT,0.0,-3.8716144648170947,-0.00013362569114560915,0.0012546179007988602,4.0,-0.6186618787760534,0.38133812122394667,469
BTCUSDT,ETHUSDT,0.0,-3.8595708610089905,-0.0001340223138267776,0.0012508704603576143,4.0,-0.6179896334690548,0.3820103665309453,470
BTCUSDT,ETHUSDT,0.0,3.8911357243082234,0.00013308508056442697,0.0012575685393425337,4.0,0.6197250822075888,-0.3802749177924112,471
