day,BTCUSDT,ETHUSDT
2021-10-01,48399.97,3305.92
2021-10-01,48325.0,3313.92
2021-10-01,48339.08,3325.2
2021-10-01,48231.48,3313.05
2021-10-01,48172.53,3316.76
2021-10-01,48134.29,3313.92
2021-10-01,48156.0,3314.44
2021-10-01,48238.12,3320.39
2021-10-01,48344.93,3323.94
2021-10-01,48349.96,3319.44
2021-10-01,48412.73,3320.24
2021-10-01,48353.34,3316.94
2021-10-01,48313.03,3317.47
2021-10-01,48365.97,3317.76
2021-10-01,48177.12,3301.1
2021-10-01,47969.9,3289.58
2021-10-01,47821.62,3277.03
2021-10-01,47808.68,3277.75
2021-10-01,47976.62,3288.93
2021-10-01,47979.48,3284.5
2021-10-01,48001.0,3286.35
2021-10-01,48027.13,3287.94
2021-10-01,48041.99,3292.01
2021-10-01,47936.86,3285.45
2021-10-01,47959.11,3291.26
2021-10-01,48034.53,3297.08
2021-10-01,48026.53,3295.78
2021-10-01,48005.0,3292.67
2021-10-01,47987.53,3288.47
2021-10-01,48031.55,3292.0
2021-10-01,48097.3,3299.25
2021-10-01,48077.97,3304.53
2021-10-01,48141.61,3309.91
2021-10-02,48175.53,3310.98
2021-10-02,48025.0,3289.26
2021-10-02,47715.6,3285.02
2021-10-02,47796.25,3293.83
2021-10-02,47886.84,3299.34
2021-10-02,47903.75,3296.98
2021-10-02,47825.7,3286.73
2021-10-02,47636.8,3275.63
2021-10-02,47695.89,3282.5
2021-10-02,47745.31,3290.28
2021-10-02,47718.34,3285.01
2021-10-02,47817.73,3294.11
2021-10-02,47895.0,3312.75
2021-10-02,47889.26,3316.73
2021-10-02,47987.25,3328.65
2021-10-02,48024.6,3337.58
2021-10-02,47943.26,3328.33
2021-10-02,47781.58,3309.61
2021-10-02,47799.01,3307.1
2021-10-02,47845.3,3309.94
2021-10-02,47818.22,3305.16
2021-10-02,47700.49,3295.7
2021-10-02,47771.06,3300.96
2021-10-02,47736.82,3296.35
2021-10-02,47759.99,3296.6
2021-10-02,47688.32,3292.38
2021-10-02,47679.4,3289.39
2021-10-02,47803.28,3302.65
2021-10-02,47863.78,3308.22
2021-10-02,47834.15,3306.18
2021-10-02,47797.4,3304.72
2021-10-02,47723.26,3298.79
2021-10-02,47787.76,3304.92
2021-10-02,47688.23,3293.81
2021-10-02,47689.76,3289.31
2021-10-02,47708.51,3290.28
2021-10-02,47742.07,3292.0
2021-10-02,47701.96,3286.85
2021-10-02,47690.76,3282.44
2021-10-02,47750.9,3290.67
2021-10-02,47569.04,3277.42
2021-10-02,47559.99,3272.06
2021-10-02,47582.7,3278.74
2021-10-02,47531.29,3275.7
2021-10-02,47579.97,3278.6
2021-10-02,47498.0,3271.8
2021-10-02,47489.56,3267.33
2021-10-02,47520.84,3267.31
2021-10-02,47552.83,3268.99
2021-10-02,47662.3,3278.54
2021-10-02,47649.99,3275.49
2021-10-02,47680.38,3277.37
2021-10-02,47588.51,3270.0
2021-10-02,47506.58,3262.71
2021-10-02,47469.29,3258.32
2021-10-02,47483.13,3261.03
2021-10-02,47476.71,3260.07
2021-10-02,47518.38,3269.84
2021-10-02,47604.13,3274.26
2021-10-02,47569.92,3272.7
2021-10-02,47594.01,3272.01
2021-10-02,47732.14,3280.97
2021-10-02,47778.56,3282.79
2021-10-02,47726.59,3279.36
2021-10-02,47712.86,3286.58
2021-10-02,47729.33,3291.98
2021-10-02,47764.52,3292.44
2021-10-02,47784.94,3290.26
2021-10-02,47705.04,3283.95
2021-10-02,47710.01,3283.5
2021-10-02,47755.7,3286.75
2021-10-02,47749.32,3280.1
2021-10-02,47740.74,3281.14
2021-10-02,47705.28,3274.82
2021-10-02,47737.58,3280.69
2021-10-02,47726.98,3278.75
2021-10-02,47787.22,3285.54
2021-10-02,47749.97,3284.23
2021-10-02,47745.7,3280.97
2021-10-02,47752.43,3280.01
2021-10-02,47894.45,3291.06
2021-10-02,47839.26,3288.19
2021-10-02,47797.15,3282.05
2021-10-02,47801.94,3283.89
2021-10-02,47785.23,3285.13
2021-10-02,47729.71,3279.23
2021-10-02,47795.1,3290.76
2021-10-02,47742.5,3281.67
2021-10-02,47726.0,3280.72
2021-10-02,47766.61,3283.96
2021-10-02,47735.09,3279.17
2021-10-02,47785.44,3282.37
2021-10-02,47822.27,3284.68
2021-10-02,47830.39,3289.38
2021-10-02,47804.23,3287.3
2021-10-02,47725.01,3279.9
2021-10-02,47687.6,3278.32
2021-10-02,47683.65,3277.23
2021-10-02,47700.89,3283.95
2021-10-02,47635.95,3276.76
2021-10-02,47554.22,3266.91
2021-10-02,47564.06,3269.76
2021-10-02,47523.76,3266.97
2021-10-02,47562.6,3272.77
2021-10-02,47617.15,3279.9
2021-10-02,47609.63,3277.64
2021-10-02,47582.5,3274.13
2021-10-02,47723.91,3284.53
2021-10-02,47759.9,3288.89
2021-10-02,47765.02,3291.81
2021-10-02,47783.06,3293.77
2021-10-02,47765.05,3290.23
2021-10-02,47791.48,3297.28
2021-10-02,47862.8,3311.6
2021-10-02,47820.67,3310.05
2021-10-02,47792.4,3308.32
2021-10-02,47744.99,3306.33
2021-10-02,47716.11,3298.27
2021-10-02,47690.0,3296.22
2021-10-02,47708.43,3299.58
2021-10-02,47638.61,3283.36
2021-10-02,47650.0,3285.61
2021-10-02,47665.79,3286.99
2021-10-02,47742.59,3295.13
2021-10-02,47759.82,3294.37
2021-10-02,47680.32,3286.83
2021-10-02,47588.55,3281.0
2021-10-02,47637.42,3285.35
2021-10-02,47633.65,3283.54
2021-10-02,47632.8,3283.05
2021-10-02,47568.28,3278.25
2021-10-02,47606.05,3284.77
2021-10-02,47559.63,3279.19
2021-10-02,47511.08,3272.96
2021-10-02,47511.95,3271.0
2021-10-02,47525.01,3275.14
2021-10-02,47569.99,3280.21
2021-10-02,47548.83,3278.22
2021-10-02,47650.75,3286.99
2021-10-02,47658.57,3290.85
2021-10-02,47671.18,3293.57
2021-10-02,47658.4,3289.26
2021-10-02,47700.03,3297.77
2021-10-02,47683.45,3296.54
